method,species,phenotype,description,all_time_s,corr_mean,corr_std,mae_mean,mae_std,mse_mean,mse_std,r2_mean,r2_std,cpu_mem_MB,gpu_mem_MB
RandomForest,Loblolly_Pine,rootnum,Rootnum,39.1468,0.2243,0.01941,0.7322,0.0806,0.8747,0.1708,0.04441,0.00956,4472.02343,3542
RandomForest,Loblolly_Pine,lignin,Lignin,28.2421,0.1536,0.1197,0.8984,0.03195,1.391,0.07301,0.01242,0.02096,4438.4414,3612
RandomForest,Loblolly_Pine,lateWood%4,Late Wood %4,12.8737,0.2374,0.07746,1.1765,0.07924,2.3084,0.3087,0.03775,0.0269,4442.5195,3638
RandomForest,Loblolly_Pine,density,Density,16.03254,0.1812,0.1008,1.6815,0.1402,5.9959,1.1957,0.01013,0.03175,4441.625,3598
RandomForest,Loblolly_Pine,c5c6,C5C6,35.6937,0.2373,0.07141,1.9067,0.1488,6.5135,0.8024,0.05117,0.02749,4438.8281,3602
RandomForest,Maize,PH,Plant Height,236.2112,0.6197,0.0575,13.0762,1.2667,282.6972,52.4018,0.3449,0.06926,6486.2929,5368
RandomForest,Maize,EW,Ear Weight,257.8582,0.5149,0.06618,11.748,0.8655,225.08233,34.04559,0.2332,0.04772,6555.4609,5842
RandomForest,Maize,DTT,Days to tasseling ,206.675,0.5862,0.07141,1.8634,0.1455,5.6685,0.8637,0.3044,0.05073,6264.8203,5224
RandomForest,Millet,TSLW,Second Leaf Width,68.9414,0.4501,0.06589,0.2409,0.03112,0.09563,0.02617,0.164,0.04941,5504.6601,5232
RandomForest,Millet,TSLL,Second Leaf Length,182.6122,0.5214,0.07292,5.1162,0.5,42.6802,6.8539,0.2385,0.06016,5501.7304,5102
RandomForest,Millet,SGN,Grain Number per Spike,130.06142,0.4079,0.08983,22.3536,1.2496,789.7721,99.06967,0.1507,0.06864,1942.3359,590
RandomForest,Millet,PGW,Per-Plant Grain Weight,141.7079,0.3331,0.08912,3.8552,0.3863,23.722,4.4516,0.09107,0.03377,5696.3164,882
RandomForest,Millet,MSW,Main Stem Diameter,243.6189,0.6105,0.03543,1.3131,0.1402,2.8037,0.5058,0.3212,0.03584,5679.789,720
RandomForest,Millet,MSSN,Main Stem Spikelet Number,145.3196,0.3641,0.09746,12.3986,1.3009,262.02067,59.5278,0.1036,0.06409,1620.9023,732
RandomForest,Millet,MSPW,Main Stem Panicle Weight,187.987,0.3235,0.09262,4.5255,0.4645,32.5189,6.2404,0.08237,0.03212,5691.5117,972
RandomForest,Millet,MSPL,Main Stem Panicle Length,213.4524,0.5761,0.07841,3.3909,0.269,18.6813,2.7465,0.316,0.07793,5680.7031,768
RandomForest,Millet,MSPD,Main Stem Panicle Diameter,179.1556,0.6402,0.05292,6.2859,0.5266,63.9444,10.9911,0.3557,0.05835,5683.9218,704
RandomForest,Millet,MSH,Main Stem Height,182.8567,0.3937,0.0953,10.7628,0.5027,182.2831,21.4909,0.1182,0.05487,5678.5078,5196
RandomForest,Millet,HKW,Hundred-Kernel Weight,121.2029,0.287,0.1277,0.08938,0.05164,0.3691,0.712,-5.2645,6.1658,5701.09375,1012
RandomForest,Millet,FNL,Flag Neck Length,260.7038,0.5677,0.1055,3.7596,0.4855,32.6988,33.846,0.3133,0.1064,5687.6406,752
RandomForest,Mouse,weight,Body Weight,200.8759,0.6657,0.02937,2.1298,0.1188,7.1047,0.6362,0.3721,0.02859,2350.2968,652
RandomForest,Mouse,Obesity.BMI,Body Mass Index,208.3869,0.4169,0.06119,0.04305,0.003078,0.003006,0.0004343,0.147,0.03434,2789.3867,858
RandomForest,Mouse,Anx,Anxiety-like Behavior,178.4227,0.3784,0.07052,0.369,0.01756,0.2167,0.02486,0.1249,0.03192,2467.8203,814
RandomForest,Pig,bf,Backfat Thickness at 100 kg body weight,216.3768,0.6242,0.03445,2.287,0.07323,8.4599,0.5132,0.3094,0.02212,5769.6328,1930
RandomForest,Pig,age,Age at 100 kg body weight,287.2356,0.678,0.02351,9.7172,0.3198,149.9352,8.845,0.3685,0.01474,5766.0625,1574
RandomForest,Rapeseed,FloweringTime,Flowering Time,98.8882,0.7866,0.03897,4.3503,0.4835,46.3719,16.2809,0.5789,0.05903,4312.707,714
RandomForest,Rice,TGW_BLUP,Thousand-Grain Weight,101.5525,0.2623,0.1107,2.01574,0.1837,7.03079,1.5171,0.05511,0.05979,4323.9882,588
RandomForest,Rice,PPNP_BLUP,Panicle Number per Plant,87.1187,0.4567,0.113,0.7889,0.06976,1.03516,0.2155,0.1864,0.08945,4327.3085,620
RandomForest,Rice,PH_BLUP,Plant Height,96.6036,0.4427,0.0572,7.4756,0.8531,98.4861,28.5478,0.1679,0.05061,4326.07031,612
RandomForest,Rice,HD_BLUP,Heading Date,54.9192,0.5824,0.1004,6.4602,0.5577,68.6494,9.5654,0.3181,0.09312,4325.1445,578
RandomForest,Rice,GYP_BLUP,Grain Yield per Plant,124.8158,0.3569,0.08291,1.9313,0.1942,6.4506,1.7088,0.1152,0.05147,4336.5195,634
RandomForest,Rice,GW_BLUP,Grain Weight,128.097,0.8166,0.03437,0.1494,0.01855,0.03789,0.008803,0.6599,0.0562,4323.125,640
RandomForest,Rice,GL_BLUP,Grain Length,55.9347,0.8266,0.02636,0.4584,0.02394,0.384,0.04486,0.674,0.04504,4313.1093,566
RandomForest,Soybean,VBN_BLUP,,283.8764,0.6314,0.02959,0.474,0.02269,0.4194,0.03903,0.3896,0.03286,5936.2812,2668
RandomForest,Soybean,PLH_BLUP,,233.01911,0.6199,0.02949,9.533,0.4888,173.09614,18.5925,0.3672,0.02773,5933.2109,3050
RandomForest,Soybean,BBD_BLUP,,233.3878,0.6301,0.03149,4.972,0.2108,48.566,4.3362,0.3833,0.03492,5930.246,2320
RandomForest,Wheat,deregressed.blups,Deregressed BLUPs,334.1888,0.4586,0.03166,368.8763,10.4482,226590.0,12146.8996,0.2017,0.02235,7494.7304,4438
RandomForest,Wheat,blups,Best Linear Unbiased Predictors (BLUPs),343.6857,0.4585,0.03163,232.06158,6.6699,89768.04218,4947.3983,0.2017,0.02237,7475.9726,3064
RandomForest,Wheat,Adj.Grain.Yield,Adjusted Grain Yield,327.2406,0.459,0.03182,368.7987,10.3878,226500.0,12125.4312,0.202,0.02246,7514.996,5494
RandomForest,Yeast,Tunicamycin,Growth Response under Tunicamycin,2269.7045,0.6731,0.04207,3.06323,0.1783,13.6337,1.4201,0.3609,0.02639,2358.4414,856
RandomForest,Yeast,Magnesium_Sulfate,Growth Response under Magnesium Sulfate,695.9279,0.6682,0.08169,1.2235,0.1329,3.106,0.5858,0.4193,0.1019,1816.8085,638
RandomForest,Yeast,Cobalt_Chloride,Growth Response under Cobalt Chloride,1184.1596,0.6318,0.07057,1.7732,0.1197,4.9144,0.6108,0.3685,0.07056,2823.9257,576
XGBoost,Cattle,scs,	Somatic cell score,1458.06954,0.6165,0.02246,0.6284,0.02626,0.6311,0.05512,0.3671,0.02301,10179.01953,1004
XGBoost,Cattle,mkg,Milk yield,1015.9355,0.7013,0.01849,0.5743,0.02158,0.524,0.02671,0.4727,0.01778,10157.9414,748
XGBoost,Cattle,fpro,Fat percentage,483.491,0.7924,0.01341,0.4847,0.01354,0.3736,0.02108,0.6246,0.01952,8707.1367,748
XGBoost,Chicken,EW36,Egg Weight at 36 weeks,590.1736,0.3001,0.08021,2.5628,0.2045,10.07589,1.3032,0.05124,0.07825,7955.3515,1006
XGBoost,Chicken,EW28,Egg Weight at 28 weeks,560.4181,0.2764,0.09582,2.7193,0.3202,11.817,2.6001,0.009688,0.09603,7017.1054,1006
XGBoost,Chickpea,Plant_height,Plant Height,888.6038,0.5762,0.02923,6.2939,0.3533,65.6213,6.5301,0.3298,0.03275,8259.5234,1004
XGBoost,Chickpea,Hundred_seed_weight,Hundred-Seed Weight,746.715,0.6272,0.02725,5.5424,0.2512,56.647,5.2159,0.3891,0.03601,8269.5312,1004
XGBoost,Chickpea,Days_to_0.5_flowering,Days to 50% flowering,417.2674,0.4993,0.04274,11.04098,0.5725,197.7041,18.5974,0.2448,0.04133,11815.789,1006
XGBoost,Cotton,FibStr_17_18,Fiber Strength,1493.2537,0.678,0.09181,1.006004,0.08225,1.7126,0.2701,0.4548,0.1329,1099.6093,494
XGBoost,Cotton,FibMic_17_18,Micronaire,1455.286,0.4917,0.05998,0.232,0.01551,0.08999,0.01074,0.2202,0.04813,1103.5664,494
XGBoost,Cotton,FibLen_17_18,Fiber Length,1948.7106,0.6571,0.1307,0.9153,0.06292,1.4729,0.1871,0.4212,0.1818,1076.3164,494
XGBoost,Cotton,FibElo_17_18,Fiber Elongation,1818.4635,0.5681,0.05502,0.6045,0.04825,0.6172,0.1208,0.3189,0.06064,1105.621,494
XGBoost,Loblolly_Pine,stiffnessTree,Stiffness Tree,1036.08468,0.3514,0.07409,0.8663,0.0827,1.3158,0.2664,0.1,0.07357,6115.3789,526
XGBoost,Loblolly_Pine,rootnumbin,Rootnum_bin,719.8858,0.1996,0.07543,0.2098,0.02361,0.07046,0.01614,-0.07258,0.07544,4418.8828,510
XGBoost,Loblolly_Pine,rootnum,Rootnum,964.5387,0.1689,0.07346,0.7446,0.08723,0.9072,0.1861,0.00973,0.04254,3584.5507,510
XGBoost,Loblolly_Pine,lignin,Lignin,403.7139,0.0914,0.1234,0.9232,0.0451,1.46,0.1426,-0.03571,0.07879,5942.621,526
XGBoost,Loblolly_Pine,lateWood%4,Late Wood %4,1781.4229,0.1948,0.06022,1.1935,0.08313,2.3767,0.2871,0.007012,0.0498,5747.6796,526
XGBoost,Loblolly_Pine,density,Density,981.3514,0.1411,0.09226,1.803,0.139,6.6349,1.1963,-0.1046,0.1281,5535.03515,526
XGBoost,Loblolly_Pine,c5c6,C5C6,669.1233,0.2338,0.08872,1.9548,0.1474,6.7074,0.9011,0.02136,0.07961,5028.1601,526
XGBoost,Maize,PH,Plant Height,2218.6035,0.6408,0.05753,12.5668,1.3022,262.4341,52.1802,0.3928,0.07164,13100.4609,1008
XGBoost,Maize,EW,Ear Weight,3877.3304,0.5007,0.06142,11.7282,0.7484,223.3523,31.6819,0.2378,0.05281,3166.5507,1002
XGBoost,Maize,DTT,Days to tasseling ,743.3439,0.6043,0.06658,1.8011,0.1299,5.2787,0.7342,0.3499,0.06198,12241.05078,1008
XGBoost,Millet,TSLW,Second Leaf Width,184.7969,0.4126,0.08426,0.2418,0.03299,0.09705,0.02833,0.1557,0.0585,14391.5351,558
XGBoost,Millet,TSLL,Second Leaf Length,1221.7807,0.5377,0.07969,4.9708,0.4962,39.9191,6.2869,0.2854,0.08257,11719.6406,558
XGBoost,Millet,SGN,Grain Number per Spike,1306.898,0.4097,0.09894,22.1849,1.6341,785.7985,113.08657,0.1548,0.08921,15495.4218,622
XGBoost,Millet,PGW,Per-Plant Grain Weight,842.2584,0.3309,0.1071,3.7961,0.4458,23.8936,5.3967,0.08971,0.08696,20672.3828,622
XGBoost,Millet,MSW,Main Stem Diameter,942.03822,0.6514,0.04638,1.2085,0.1356,2.4328,0.4607,0.4101,0.05718,17152.1562,622
XGBoost,Millet,MSSN,Main Stem Spikelet Number,737.5037,0.3437,0.09122,12.7055,1.1328,267.7385,59.3989,0.0812,0.09505,13889.5546,622
XGBoost,Millet,MSPW,Main Stem Panicle Weight,635.3137,0.3344,0.1012,4.4674,0.5155,32.4466,7.5411,0.09047,0.08424,20419.4218,622
XGBoost,Millet,MSPL,Main Stem Panicle Length,695.05901,0.5673,0.07215,3.4168,0.2703,18.7093,2.734,0.3142,0.0866,18236.01953,622
XGBoost,Millet,MSPD,Main Stem Panicle Diameter,328.2682,0.6889,0.04455,5.6315,0.4942,53.1145,9.9851,0.4654,0.06244,18972.207,622
XGBoost,Millet,MSH,Main Stem Height,770.1288,0.3714,0.122,10.8613,0.6901,187.2042,25.7337,0.0896,0.1295,16175.2968,622
XGBoost,Millet,HKW,Hundred-Kernel Weight,838.1661,0.1038,0.1644,0.1712,0.03239,0.4555,0.6799,-46.3461,45.1475,11569.1875,526
XGBoost,Millet,FNL,Flag Neck Length,1042.5784,0.5616,0.1063,3.7627,0.4315,32.9128,33.7542,0.3035,0.1147,19643.5078,622
XGBoost,Mouse,weight,Body Weight,1103.767,0.7238,0.02667,1.839,0.1004,5.5134,0.5347,0.5124,0.03442,2027.6367,558
XGBoost,Mouse,Obesity.BMI,Body Mass Index,15.6959,0.4013,0.02792,0.04378,0.002815,0.003077,0.0003632,0.1248,0.01342,2030.6679,502
XGBoost,Mouse,Anx,Anxiety-like Behavior,318.965,0.3702,0.0568,0.3668,0.0194,0.2157,0.02566,0.1293,0.03135,2026.1679,558
XGBoost,Pig,bf,Backfat Thickness at 100 kg body weight,1967.4948,0.6726,0.02792,2.02067,0.08744,6.8077,0.5558,0.4444,0.03307,7368.09375,750
XGBoost,Pig,age,Age at 100 kg body weight,1184.8656,0.6992,0.01503,8.6465,0.2622,121.8181,6.3246,0.4865,0.01976,6424.02734,750
XGBoost,Rapeseed,FloweringTime,Flowering Time,332.07893,0.812,0.04547,3.8852,0.5087,39.1698,16.4183,0.6486,0.07834,5195.4179,558
XGBoost,Rice,TGW_BLUP,Thousand-Grain Weight,845.1399,0.1614,0.07132,2.2803,0.1495,8.7196,1.3785,-0.1855,0.09418,5168.832,560
XGBoost,Rice,PPNP_BLUP,Panicle Number per Plant,880.904,0.4515,0.08612,0.7934,0.0706,1.03711,0.2166,0.1855,0.08346,5437.3085,560
XGBoost,Rice,PH_BLUP,Plant Height,463.05358,0.3861,0.09489,8.2333,0.7968,113.641,24.6743,0.01452,0.1456,5415.01171,560
XGBoost,Rice,HD_BLUP,Heading Date,855.4321,0.5572,0.08059,6.4136,0.6265,71.1515,11.5379,0.2926,0.1113,5345.789,560
XGBoost,Rice,GYP_BLUP,Grain Yield per Plant,898.4754,0.3415,0.09157,1.9763,0.1935,6.7149,1.7483,0.07512,0.07667,5517.4101,560
XGBoost,Rice,GW_BLUP,Grain Weight,588.4607,0.8011,0.03727,0.1563,0.01783,0.04083,0.008833,0.632,0.0628,5103.7265,560
XGBoost,Rice,GL_BLUP,Grain Length,839.8394,0.8053,0.02425,0.4924,0.03971,0.4341,0.05627,0.6326,0.04615,5088.3554,560
XGBoost,Soybean,VBN_BLUP,,706.3371,0.6861,0.02404,0.4298,0.01995,0.3683,0.03648,0.4641,0.03114,6893.1406,1004
XGBoost,Soybean,PLH_BLUP,,1555.5597,0.7019,0.02958,8.4004,0.3639,141.3031,11.9891,0.4817,0.03463,8856.5625,1004
XGBoost,Soybean,BBD_BLUP,,562.6386,0.674,0.03957,4.5635,0.2257,43.5783,3.7798,0.4451,0.05118,7844.8164,1004
XGBoost,Wheat,deregressed.blups,Deregressed BLUPs,1622.3535,0.5027,0.0275,359.924,11.3437,214060.0,12285.3401,0.2456,0.03317,7514.01171,1006
XGBoost,Wheat,blups,Best Linear Unbiased Predictors (BLUPs),1033.7785,0.5036,0.0279,224.9374,6.6069,84022.4943,4796.1662,0.2527,0.02857,7508.9765,1006
XGBoost,Wheat,Adj.Grain.Yield,Adjusted Grain Yield,1147.7065,0.5099,0.02933,356.08955,11.4019,210590.0,12408.4783,0.2579,0.03231,8735.207,1006
XGBoost,Yeast,Tunicamycin,Growth Response under Tunicamycin,848.01957,0.7738,0.03483,2.4116,0.1767,9.02947,1.3031,0.5768,0.04548,6925.04296,620
XGBoost,Yeast,Magnesium_Sulfate,Growth Response under Magnesium Sulfate,414.235,0.7061,0.05931,1.1607,0.1228,2.7497,0.5574,0.4874,0.08785,6281.03125,556
XGBoost,Yeast,Cobalt_Chloride,Growth Response under Cobalt Chloride,268.8637,0.6812,0.06022,1.6342,0.1194,4.2279,0.5825,0.4553,0.07886,5012.6015,556
LightGBM,Cattle,scs,	Somatic cell score,1006.4961,0.5813,0.03194,0.6543,0.02535,0.6817,0.05814,0.316,0.02854,10971.2539,-
LightGBM,Cattle,mkg,Milk yield,993.9466,0.635,0.02159,0.6352,0.02035,0.6376,0.02957,0.3583,0.01803,10625.6679,-
LightGBM,Cattle,fpro,Fat percentage,805.2579,0.7837,0.01257,0.4951,0.01319,0.3929,0.0193,0.6052,0.01728,10678.07031,-
LightGBM,Chicken,EW36,Egg Weight at 36 weeks,111.1194,0.2923,0.1331,2.5609,0.1841,9.9045,1.4149,0.06701,0.1015,8479.3476,-
LightGBM,Chicken,EW28,Egg Weight at 28 weeks,130.7921,0.2204,0.07167,2.7234,0.2619,11.5815,2.1418,0.02622,0.02298,8245.957,-
LightGBM,Chickpea,Plant_height,Plant Height,1006.5004,0.583,0.0336,7.4943,0.3448,84.5419,7.7406,0.137,0.01358,21351.625,-
LightGBM,Chickpea,Hundred_seed_weight,Hundred-Seed Weight,1214.04344,0.6319,0.02929,6.8333,0.2422,75.5537,6.1978,0.1859,0.01144,24854.4687,-
LightGBM,Chickpea,Days_to_0.5_flowering,Days to 50% flowering,1298.4331,0.4823,0.04641,11.7061,0.4426,219.7608,15.285,0.1597,0.02529,16694.02343,-
LightGBM,Cotton,FibStr_17_18,Fiber Strength,398.1015,0.6654,0.08271,1.033,0.08741,1.7821,0.2596,0.4377,0.1128,22601.7265,-
LightGBM,Cotton,FibMic_17_18,Micronaire,353.9342,0.4983,0.07607,0.249,0.0166,0.1046,0.01201,0.09439,0.02265,22601.7265,-
LightGBM,Cotton,FibLen_17_18,Fiber Length,235.822,0.6066,0.1107,0.982,0.08183,1.6886,0.2287,0.3484,0.1451,22601.7265,-
LightGBM,Cotton,FibElo_17_18,Fiber Elongation,130.7044,0.5213,0.07779,0.6406,0.05588,0.6702,0.1339,0.2609,0.07138,22601.7265,-
LightGBM,Loblolly_Pine,stiffnessTree,Stiffness Tree,24.9572,0.3726,0.07921,0.85,0.07568,1.2735,0.2494,0.1289,0.05937,2105.8789,-
LightGBM,Loblolly_Pine,rootnumbin,Rootnum_bin,22.5291,0.1963,0.08554,0.2093,0.02453,0.06634,0.01528,-0.008312,0.01001,1705.2031,-
LightGBM,Loblolly_Pine,rootnum,Rootnum,19.95,0.2098,0.04668,0.734,0.08124,0.8825,0.177,0.03685,0.02549,1552.7421,-
LightGBM,Loblolly_Pine,lignin,Lignin,26.1103,0.1465,0.1128,0.9065,0.03216,1.4047,0.07184,0.002857,0.007222,2031.01562,-
LightGBM,Loblolly_Pine,lateWood%4,Late Wood %4,22.07989,0.2383,0.07587,1.1979,0.08308,2.3504,0.323,0.02117,0.01633,1960.2226,-
LightGBM,Loblolly_Pine,density,Density,21.6579,0.2107,0.1311,1.6638,0.1443,5.8968,1.1379,0.02472,0.05358,1903.3203,-
LightGBM,Loblolly_Pine,c5c6,C5C6,23.6746,0.2398,0.0878,1.9263,0.1447,6.5999,0.81,0.03868,0.02126,1811.2578,-
LightGBM,Maize,PH,Plant Height,1161.4947,0.5974,0.06687,14.974,1.1078,361.9854,50.3338,0.1581,0.03682,7904.3398,-
LightGBM,Maize,EW,Ear Weight,1109.3842,0.466,0.05494,12.6924,0.8652,260.2559,38.268,0.1142,0.01777,8101.4531,-
LightGBM,Maize,DTT,Days to tasseling ,827.5501,0.6053,0.06828,1.7862,0.1379,5.2436,0.7684,0.3544,0.06808,6807.3945,-
LightGBM,Millet,TSLW,Second Leaf Width,153.5803,0.3448,0.08593,0.2597,0.03072,0.1094,0.02618,0.03741,0.01881,8162.8398,-
LightGBM,Millet,TSLL,Second Leaf Length,240.3852,0.5089,0.08668,5.05904,0.5033,42.4708,8.1091,0.2444,0.07752,7659.04687,-
LightGBM,Millet,SGN,Grain Number per Spike,190.5057,0.4154,0.09047,22.5019,1.05819,796.3849,89.537,0.1432,0.05263,10594.2031,-
LightGBM,Millet,PGW,Per-Plant Grain Weight,183.8172,0.2661,0.1061,3.9206,0.3782,24.7751,4.6519,0.0503,0.03204,10068.125,-
LightGBM,Millet,MSW,Main Stem Diameter,199.7807,0.5959,0.05848,1.3042,0.1376,2.7511,0.4832,0.3319,0.05828,8942.8906,-
LightGBM,Millet,MSSN,Main Stem Spikelet Number,182.873,0.3503,0.0585,12.6275,1.3293,269.8728,64.7852,0.08011,0.02933,10460.9648,-
LightGBM,Millet,MSPW,Main Stem Panicle Weight,206.3912,0.2962,0.1209,4.5103,0.4471,32.7311,6.7306,0.07728,0.05533,9894.9296,-
LightGBM,Millet,MSPL,Main Stem Panicle Length,271.8752,0.5781,0.06526,3.5355,0.1975,20.406,2.8825,0.2553,0.04697,9247.3437,-
LightGBM,Millet,MSPD,Main Stem Panicle Diameter,187.2275,0.6663,0.05223,5.9372,0.4223,57.4131,9.1526,0.4198,0.06158,9460.6718,-
LightGBM,Millet,MSH,Main Stem Height,192.03149,0.3383,0.04966,11.02085,0.5995,196.1623,24.1452,0.05293,0.02553,8615.496,-
LightGBM,Millet,HKW,Hundred-Kernel Weight,134.3141,0.4345,0.1172,0.07104,0.05483,0.3585,0.72,-0.3308,0.2243,10252.9296,-
LightGBM,Millet,FNL,Flag Neck Length,234.3808,0.55,0.1017,4.1418,0.5938,37.1598,34.5609,0.2013,0.06724,9660.664,-
LightGBM,Mouse,weight,Body Weight,291.8243,0.6731,0.03906,2.1315,0.1231,7.2829,0.6944,0.3565,0.03394,10700.9414,-
LightGBM,Mouse,Obesity.BMI,Body Mass Index,45.6732,0.175,0.06609,0.04684,0.002928,0.003503,0.0003966,0.002898,0.005137,1832.07031,-
LightGBM,Mouse,Anx,Anxiety-like Behavior,90.4788,0.3704,0.07481,0.3667,0.01547,0.215,0.01856,0.1284,0.05632,1823.3359,-
LightGBM,Pig,bf,Backfat Thickness at 100 kg body weight,946.586,0.6246,0.03252,2.2937,0.08235,8.5236,0.5343,0.3044,0.02058,7309.007812,-
LightGBM,Pig,age,Age at 100 kg body weight,788.5319,0.6673,0.02638,9.7315,0.2936,149.9508,7.9777,0.3681,0.01901,7169.5039,-
LightGBM,Rapeseed,FloweringTime,Flowering Time,348.2018,0.8098,0.04317,3.9615,0.4107,39.04051,15.2122,0.6457,0.07124,5907.9609,-
LightGBM,Rice,TGW_BLUP,Thousand-Grain Weight,81.9213,0.2423,0.1045,2.07563,0.1894,7.3957,1.5733,0.007094,0.03253,5910.7109,-
LightGBM,Rice,PPNP_BLUP,Panicle Number per Plant,213.5773,0.4581,0.1099,0.7916,0.07259,1.03249,0.2228,0.19,0.08205,5913.3671,-
LightGBM,Rice,PH_BLUP,Plant Height,98.757,0.4054,0.06597,7.7492,0.9284,103.1973,30.7998,0.1302,0.05021,5912.3515,-
LightGBM,Rice,HD_BLUP,Heading Date,260.1692,0.5566,0.1093,6.8316,0.4345,77.4694,8.1463,0.2315,0.06432,5911.1601,-
LightGBM,Rice,GYP_BLUP,Grain Yield per Plant,101.2565,0.3348,0.07283,1.9579,0.1725,6.568,1.5702,0.09331,0.04101,5915.0664,-
LightGBM,Rice,GW_BLUP,Grain Weight,73.02573,0.8064,0.03299,0.1644,0.02063,0.04363,0.009887,0.6104,0.048,5909.5351,-
LightGBM,Rice,GL_BLUP,Grain Length,81.6089,0.8191,0.02749,0.6564,0.05309,0.5899,0.09467,0.5053,0.0347,5908.5429,-
LightGBM,Soybean,VBN_BLUP,,2025.8014,0.6619,0.02806,0.4518,0.02195,0.4012,0.03852,0.4166,0.02783,17259.9023,-
LightGBM,Soybean,PLH_BLUP,,2552.4281,0.6695,0.02888,9.01067,0.5149,183.4135,21.5461,0.3308,0.01438,15712.1796,-
LightGBM,Soybean,BBD_BLUP,,1409.03466,0.6815,0.03394,4.6344,0.2422,44.7166,4.6686,0.4328,0.03344,14086.7578,-
LightGBM,Wheat,deregressed.blups,Deregressed BLUPs,928.06248,0.4657,0.03365,366.3252,10.9001,223560.0,12637.6777,0.2124,0.02698,21485.5976,-
LightGBM,Wheat,blups,Best Linear Unbiased Predictors (BLUPs),547.6989,0.4409,0.03,234.3817,6.9782,91469.5579,5236.2534,0.1868,0.02066,20269.2031,-
LightGBM,Wheat,Adj.Grain.Yield,Adjusted Grain Yield,367.1253,0.4377,0.03251,373.3658,10.6227,232240.0,12584.7407,0.1819,0.02123,9460.6835,-
LightGBM,Yeast,Tunicamycin,Growth Response under Tunicamycin,257.1243,0.6498,0.04492,3.1405,0.1609,14.203,1.3458,0.3335,0.02853,2291.3085,-
LightGBM,Yeast,Magnesium_Sulfate,Growth Response under Magnesium Sulfate,546.5791,0.6725,0.07851,1.2351,0.128,3.3119,0.6636,0.3878,0.06634,1978.9414,-
LightGBM,Yeast,Cobalt_Chloride,Growth Response under Cobalt Chloride,699.5949,0.6509,0.05908,1.7494,0.1045,4.7763,0.5609,0.3867,0.05656,1881.8125,-
DeepGS,Cattle,scs,	Somatic cell score,14598.9795,0.7141,0.02197,0.5966,0.03553,0.5659,0.06501,0.4333,0.03547,6135.8398,2248.0
DeepGS,Cattle,mkg,Milk yield,4543.07864,0.7429,0.01766,0.5481,0.02152,0.4741,0.03396,0.5233,0.02045,6059.7382,2340.0
DeepGS,Cattle,fpro,Fat percentage,7684.06205,0.8024,0.01537,0.5522,0.02798,0.4853,0.0518,0.512,0.05417,6111.1289,2248.0
DeepGS,Chicken,EW36,Egg Weight at 36 weeks,1008.05481,0.2827,0.06787,5.528,0.4988,40.7985,6.5186,-2.8425,0.4575,1558.9023,592.0
DeepGS,Chicken,EW28,Egg Weight at 28 weeks,659.6481,0.2877,0.07307,5.6391,0.6255,41.9595,7.9742,-2.5911,0.7685,1558.3593,610.0
DeepGS,Chickpea,Plant_height,Plant Height,3680.2343,0.4438,0.07705,12.58,0.8201,265.1911,31.9552,-0.01594,0.1209,4755.3281,1794.0
DeepGS,Chickpea,Hundred_seed_weight,Hundred-Seed Weight,4187.6977,0.3791,0.1184,13.01869,0.9227,280.08377,32.1626,-0.07143,0.1113,4744.7265,1794.0
DeepGS,Chickpea,Days_to_0.5_flowering,Days to 50% flowering,5901.1187,0.4651,0.04707,12.2873,0.9443,249.1371,33.004087,0.04774,0.1076,4838.5078,1802.0
DeepGS,Cotton,FibStr_17_18,Fiber Strength,239.9921,0.5854,0.1055,2.4722,0.1958,7.996,1.08403,-1.5472,0.6587,1356.7812,540.0
DeepGS,Cotton,FibMic_17_18,Micronaire,315.1563,0.5179,0.07581,0.229,0.01181,0.08715,0.01068,0.2429,0.07535,1355.414,538.0
DeepGS,Cotton,FibLen_17_18,Fiber Length,318.8167,0.5416,0.1371,2.4642,0.2865,7.6672,1.4367,-2.09005,1.2435,1346.6796,538.0
DeepGS,Cotton,FibElo_17_18,Fiber Elongation,176.4136,0.5073,0.0705,0.8073,0.1043,1.07786,0.2865,-0.1875,0.2361,1355.9453,538.0
DeepGS,Loblolly_Pine,stiffnessTree,Stiffness Tree,416.8139,0.2775,0.1197,0.8875,0.07477,1.3746,0.2778,0.06085,0.06291,1584.3515,606.0
DeepGS,Loblolly_Pine,rootnumbin,Rootnum_bin,33.9882,0.1454,0.0833,0.2136,0.0281,0.07089,0.01549,-0.08164,0.07988,1578.8593,680.0
DeepGS,Loblolly_Pine,rootnum,Rootnum,152.2831,0.1402,0.05748,0.7495,0.08216,0.9184,0.1829,-0.003756,0.03419,1593.5585,680.0
DeepGS,Loblolly_Pine,lignin,Lignin,126.03947,0.1534,0.1046,0.9118,0.04094,1.4323,0.1182,-0.01658,0.06498,1583.6914,680.0
DeepGS,Loblolly_Pine,lateWood%4,Late Wood %4,461.4938,0.1463,0.07536,1.2095,0.08748,2.389,0.3257,0.004644,0.02853,1582.8789,606.0
DeepGS,Loblolly_Pine,density,Density,1229.05453,0.1642,0.1059,1.6994,0.1407,5.9886,1.1507,0.01045,0.03293,1582.1171,680.0
DeepGS,Loblolly_Pine,c5c6,C5C6,202.4973,0.1605,0.08214,2.03277,0.1714,6.9526,0.9253,-0.01337,0.06493,1579.25,680.0
